,title_wiki,title_system,web_link
0,Operación Gárgola,Operación_Gárgola,https://es.wikipedia.org/wiki/Operaci%C3%B3n_G%C3%A1rgola
1,Fondo de inversión,Fondo_de_inversión,https://es.wikipedia.org/wiki/Fondo_de_inversi%C3%B3n
2,Premios BAFTA,Premios_BAFTA,https://es.wikipedia.org/wiki/Premios_BAFTA
3,Letterbox,Letterbox,https://es.wikipedia.org/wiki/Letterbox
4,Sublevación de Jaca,Sublevación_de_Jaca,https://es.wikipedia.org/wiki/Sublevaci%C3%B3n_de_Jaca
5,Eurojust,Eurojust,https://es.wikipedia.org/wiki/Eurojust
6,Tratado de Libre Comercio de América del Norte,Tratado_de_Libre_Comercio_de_América_del_Norte,https://es.wikipedia.org/wiki/Tratado_de_Libre_Comercio_de_Am%C3%A9rica_del_Norte
7,Organización Mundial del Comercio,Organización_Mundial_del_Comercio,https://es.wikipedia.org/wiki/Organizaci%C3%B3n_Mundial_del_Comercio
8,Huella dactilar,Huella_dactilar,https://es.wikipedia.org/wiki/Huella_dactilar
9,Active Server Pages,Active_Server_Pages,https://es.wikipedia.org/wiki/Active_Server_Pages
10,Pirisudanol,Pirisudanol,https://es.wikipedia.org/wiki/Pirisudanol
11,Servicio telefónico convencional,Servicio_telefónico_convencional,https://es.wikipedia.org/wiki/Servicio_telef%C3%B3nico_convencional
12,Fosa de Puerto Rico,Fosa_de_Puerto_Rico,https://es.wikipedia.org/wiki/Fosa_de_Puerto_Rico
13,Tasa de error de modulación,Tasa_de_error_de_modulación,https://es.wikipedia.org/wiki/Tasa_de_error_de_modulaci%C3%B3n
14,Giant,Giant,https://es.wikipedia.org/wiki/Giant
15,Nucleótido,Nucleótido,https://es.wikipedia.org/wiki/Nucle%C3%B3tido
16,Consejo Económico y Social de las Naciones Unidas,Consejo_Económico_y_Social_de_las_Naciones_Unidas,https://es.wikipedia.org/wiki/Consejo_Econ%C3%B3mico_y_Social_de_las_Naciones_Unidas
17,Reconocimiento óptico de caracteres,Reconocimiento_óptico_de_caracteres,https://es.wikipedia.org/wiki/Reconocimiento_%C3%B3ptico_de_caracteres
18,TV3 (Cataluña),TV3_(Cataluña),https://es.wikipedia.org/wiki/TV3_(Catalu%C3%B1a)
19,Rosa Luxemburgo,Rosa_Luxemburgo,https://es.wikipedia.org/wiki/Rosa_Luxemburgo
20,Fútbol,Fútbol,https://es.wikipedia.org/wiki/F%C3%BAtbol
21,Mabel Chinomona,Mabel_Chinomona,https://es.wikipedia.org/wiki/Mabel_Chinomona
22,Pero de Cehegín,Pero_de_Cehegín,https://es.wikipedia.org/wiki/Pero_de_Ceheg%C3%ADn
23,Final a cuatro,Final_a_cuatro,https://es.wikipedia.org/wiki/Final_a_cuatro
24,NASDAQ,NASDAQ,https://es.wikipedia.org/wiki/NASDAQ
25,Lockheed P-38 Lightning,Lockheed_P_38_Lightning,https://es.wikipedia.org/wiki/Lockheed_P-38_Lightning
26,S.H.I.E.L.D.,S.H.I.E.L.D.,https://es.wikipedia.org/wiki/S.H.I.E.L.D.
27,RDFa,RDFa,https://es.wikipedia.org/wiki/RDFa
28,Análisis de Peligros y Puntos de Control Críticos,Análisis_de_Peligros_y_Puntos_de_Control_Críticos,https://es.wikipedia.org/wiki/An%C3%A1lisis_de_Peligros_y_Puntos_de_Control_Cr%C3%ADticos
29,Comité olímpico nacional,Comité_olímpico_nacional,https://es.wikipedia.org/wiki/Comit%C3%A9_ol%C3%ADmpico_nacional
30,TAP Air Portugal,TAP_Air_Portugal,https://es.wikipedia.org/wiki/TAP_Air_Portugal
31,Independientes de Navarra,Independientes_de_Navarra,https://es.wikipedia.org/wiki/Independientes_de_Navarra
